State,AMI_percent,AMI_number,SUD_percent,SUD_number,Suicide_percent,Suicide_number
Alabama,21.29,794000,7.89,294000,4.83,180000
Alaska,21.47,113000,10.23,54000,6.11,32000
Arizona,20.06,1099000,7.11,390000,5.01,275000
Arkansas,20.34,460000,7.16,162000,4.71,107000
California,19.49,5864000,9.23,2778000,4.55,1370000
Colorado,23.20,1014000,11.75,514000,5.54,242000
Connecticut,18.85,526000,8.43,235000,4.46,125000
Delaware,20.92,157000,8.79,66000,5.18,39000
District of Columbia,22.83,129000,12.30,70000,4.43,25000
Florida,17.23,2903000,5.98,1007000,4.04,682000
Georgia,17.88,1406000,6.60,519000,3.85,303000
Hawaii,17.45,185000,8.45,90000,4.74,50000
Idaho,22.48,293000,7.67,100000,5.30,69000
Illinois,19.18,1858000,8.02,777000,4.00,388000
Indiana,22.29,1125000,8.42,425000,5.62,284000
Iowa,18.50,441000,8.05,192000,4.94,118000
Kansas,20.56,442000,7.29,157000,4.96,107000
Kentucky,22.54,762000,7.87,266000,4.68,158000
Louisiana,21.21,734000,8.06,279000,4.72,163000
Maine,22.10,238000,8.89,96000,5.44,59000
Maryland,17.57,810000,7.01,323000,4.34,200000
Massachusetts,21.15,1157000,8.83,483000,4.77,261000
Michigan,20.32,1571000,7.56,585000,4.61,357000
Minnesota,20.53,876000,7.62,325000,4.74,202000
Mississippi,20.16,446000,7.15,158000,5.31,118000
Missouri,22.71,1056000,7.71,358000,5.05,235000
Montana,20.81,171000,10.04,83000,4.63,38000
Nebraska,20.30,290000,7.71,110000,4.88,70000
Nevada,21.97,512000,9.32,217000,4.94,115000
New Hampshire,22.37,243000,8.84,96000,4.68,51000
New Jersey,16.37,1122000,6.71,459000,3.79,260000
New Mexico,21.39,338000,7.70,122000,4.81,76000
New York,19.52,2972000,7.43,1131000,4.21,642000
North Carolina,19.31,1532000,7.26,576000,3.87,307000
North Dakota,20.50,116000,8.88,50000,5.28,30000
Ohio,23.64,2112000,7.94,709000,6.09,545000
Oklahoma,22.54,657000,8.01,234000,4.58,134000
Oregon,23.75,783000,9.78,322000,5.65,187000
Pennsylvania,19.70,1963000,7.31,728000,4.83,482000
Rhode Island,22.38,187000,8.95,75000,4.59,38000
South Carolina,19.43,760000,6.73,263000,4.89,191000
Tennessee,19.40,1006000,7.22,375000,4.68,243000
Texas,17.17,3602000,6.48,1360000,3.86,812000
Utah,26.86,599000,6.56,146000,6.19,138000
Vermont,22.25,112000,10.10,51000,5.66,29000
Virginia,18.58,1199000,7.33,473000,4.22,272000
Washington,23.43,1360000,8.62,500000,4.92,286000
West Virginia,24.62,347000,6.29,89000,5.44,77000
Wisconsin,20.19,904000,7.98,358000,4.66,209000
Wyoming,22.56,98000,7.84,34000,5.74,25000
